,x,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5
0,-5.0,23.0,-3584912823.131592,inf,,,
1,-4.898989898989899,22.00010203040506,-1318950278.6515048,inf,,,
2,-4.797979797979798,21.02061014182226,-495268253.1893673,inf,,,
3,-4.696969696969697,20.061524334251608,-189808120.6562165,inf,,,
4,-4.595959595959596,19.122844607693093,-74242279.47600383,inf,,,
5,-4.494949494949495,18.204570962146718,-29638073.152169522,inf,,,
6,-4.393939393939394,17.306703397612484,-12075654.566311061,inf,,,
7,-4.292929292929293,16.4292419140904,-5021496.939389114,inf,,,
8,-4.191919191919192,15.572186511580451,-2131164.7191045387,inf,,,
9,-4.090909090909091,14.735537190082646,-923126.1957204788,inf,,,
10,-3.9898989898989896,13.919293949596977,-408096.8661979156,inf,,,
11,-3.888888888888889,13.123456790123456,-184127.82915301627,inf,,,
12,-3.787878787878788,12.348025711662077,-84785.52266142667,inf,,,
13,-3.686868686868687,11.593000714212835,-39843.31004277459,inf,,,
14,-3.5858585858585856,10.858381797775735,-19107.06932900835,inf,,,
15,-3.484848484848485,10.144168962350781,-9349.559978602392,inf,,,
16,-3.383838383838384,9.450362207937967,-4667.315999530593,inf,,,
17,-3.282828282828283,8.776961534537293,-2376.2399897295777,inf,,,
18,-3.1818181818181817,8.12396694214876,-1233.2410265002877,inf,,,
19,-3.080808080808081,7.49137843077237,-651.9401343307189,5.008508200565849e+282,-inf,,
20,-2.9797979797979797,6.87919600040812,-350.64210430256634,7.041035591841128e+151,-inf,,
21,-2.878787878787879,6.287419651056016,-191.5441861566444,5.653125234780682e+82,-inf,,
22,-2.7777777777777777,5.716049382716049,-106.0087323077245,4.024509833639485e+45,-inf,,
23,-2.676767676767677,5.165085195388227,-59.23098190203427,1.9471262685883686e+25,-inf,,
24,-2.5757575757575757,4.634527089072543,-33.24583347902593,100968881266758.72,-inf,,
25,-2.474747474747475,4.124375063769004,-18.61535105563487,44694036.50348705,-inf,,
26,-2.3737373737373737,3.634629119477604,-10.2938032920122,10860.155253853836,-inf,,
27,-2.272727272727273,3.1652892561983483,-5.536308554396866,87.80782480908483,-5.013711044331725e+37,inf,
28,-2.1717171717171717,2.7163554739312312,-2.823534623891626,3.3483271928680396,-7.106788437406566,441.7876542154277,-2.7017547074356548e+191
29,-2.070707070707071,2.287827772676258,-1.299741248255992,-0.05051646304637081,-0.013332716414691193,-0.0035227612544095344,-0.0009308530102480894
30,-1.9696969696969697,1.879706152433425,-0.47433396072650214,-0.112103617702206,-0.029449516666043063,-0.007778641083940219,-0.0020553790978006248
31,-1.868686868686869,1.4919906132027352,-0.06083306411883077,-0.01604698575394231,-0.004239766728070804,-0.0011203113531587094,-0.0002960321516575215
32,-1.7676767676767677,1.1246811549841853,0.11136499800569456,0.029257738856038384,0.0077280262950054635,0.0020420057087466303,0.0005395808266098756
33,-1.6666666666666665,0.7777777777777772,0.1460536902670358,0.03821093119413149,0.010090057232205296,0.002666082030194361,0.0007044861715910233
34,-1.5656565656565657,0.4512804815835123,0.10786154178367502,0.028347484121567956,0.007487777408924701,0.0019785271906240798,0.000522807286413074
35,-1.4646464646464645,0.1451892664013874,0.03798927027626353,0.010031603689610646,0.0026506383774196896,0.0007004053636710528,0.00018507585397548043
36,-1.3636363636363638,-0.1404958677685948,-0.03678437416459024,-0.009713840292869869,-0.002566683617574006,-0.0006782212742924565,-0.00017921390928199443
37,-1.2626262626262625,-0.4057749209264363,-0.09896176207291185,-0.02603086187173831,-0.006876260994218952,-0.0018169510207713957,-0.0004801124329038564
38,-1.1616161616161618,-0.6506478930721351,-0.137428614002987,-0.03599570516044098,-0.009505825778267751,-0.0025117246970077223,-0.0006636989980603469
39,-1.0606060606060606,-0.8751147842056934,-0.1458539442283434,-0.03815971822004505,-0.01007655213329084,-0.0026625139329044534,-0.0007035433428929094
40,-0.9595959595959593,-1.07917559432711,-0.1218144744720695,-0.031966571622679685,-0.008442876763673224,-0.0022308813921383397,-0.0005894892309311062
41,-0.858585858585859,-1.2628303234363834,-0.0662798622677021,-0.01747815203885683,-0.0046177916764212346,-0.0012201983586687115,-0.00032242635527834906
42,-0.7575757575757578,-1.4260789715335167,0.016780018175894806,0.00443339137155685,0.0011714736055793984,0.00030955129770082745,8.179617723930166e-05
43,-0.6565656565656566,-1.5689215386185082,0.12082140245721007,0.03170954474569648,0.008375055549756705,0.002212962003026564,0.0005847542240697834
44,-0.5555555555555554,-1.6913580246913582,0.23727804479620174,0.06105583576205598,0.016105546695002693,0.004255235368657462,0.001124398701370155
45,-0.45454545454545503,-1.7933884297520657,0.35627326925799574,0.08856133208672767,0.023316336072557564,0.0061595802526556165,0.0016275857127512339
46,-0.3535353535353538,-1.8750127538006325,0.4674777151506375,0.1108616588673044,0.029127024433942827,0.007693527152630497,0.0020328903714004753
47,-0.2525252525252526,-1.9362309968370575,0.5610546475695841,0.1262532052675272,0.03311431043438501,0.008745709373714994,0.0023108939899288417
48,-0.15151515151515138,-1.9770431588613406,0.6286031028549979,0.13503644226281358,0.03537995348296319,0.0093434074082957,0.0024688123928006678
49,-0.050505050505050164,-1.9974492398734824,0.6639935139131126,0.13875621479516254,0.0363371835008276,0.009595894061282806,0.002535521418259301
50,0.050505050505050164,-1.9974492398734824,0.6639935139131126,0.13875621479516254,0.0363371835008276,0.009595894061282806,0.002535521418259301
51,0.15151515151515138,-1.9770431588613406,0.6286031028549979,0.13503644226281358,0.03537995348296319,0.0093434074082957,0.0024688123928006678
52,0.2525252525252526,-1.9362309968370575,0.5610546475695841,0.1262532052675272,0.03311431043438501,0.008745709373714994,0.0023108939899288417
53,0.3535353535353538,-1.8750127538006325,0.4674777151506375,0.1108616588673044,0.029127024433942827,0.007693527152630497,0.0020328903714004753
54,0.45454545454545414,-1.7933884297520666,0.3562732692579966,0.0885613320867279,0.023316336072557675,0.006159580252655672,0.0016275857127511228
55,0.5555555555555554,-1.6913580246913582,0.23727804479620174,0.06105583576205598,0.016105546695002693,0.004255235368657462,0.001124398701370155
56,0.6565656565656566,-1.5689215386185082,0.12082140245721007,0.03170954474569648,0.008375055549756705,0.002212962003026564,0.0005847542240697834
57,0.7575757575757578,-1.4260789715335167,0.016780018175894806,0.00443339137155685,0.0011714736055793984,0.00030955129770082745,8.179617723930166e-05
58,0.8585858585858581,-1.262830323436385,-0.06627986226770144,-0.017478152038856665,-0.0046177916764211235,-0.0012201983586686005,-0.00032242635527829355
59,0.9595959595959593,-1.07917559432711,-0.1218144744720695,-0.031966571622679685,-0.008442876763673224,-0.0022308813921383397,-0.0005894892309311062
60,1.0606060606060606,-0.8751147842056934,-0.1458539442283434,-0.03815971822004505,-0.01007655213329084,-0.0026625139329044534,-0.0007035433428929094
61,1.1616161616161618,-0.6506478930721351,-0.137428614002987,-0.03599570516044098,-0.009505825778267751,-0.0025117246970077223,-0.0006636989980603469
62,1.262626262626262,-0.4057749209264374,-0.09896176207291207,-0.026030861871738475,-0.006876260994219063,-0.0018169510207715067,-0.0004801124329038564
63,1.3636363636363633,-0.1404958677685959,-0.036784374164590516,-0.00971384029286998,-0.002566683617573895,-0.0006782212742923455,-0.0001792139092818834
64,1.4646464646464645,0.1451892664013874,0.03798927027626353,0.010031603689610646,0.0026506383774196896,0.0007004053636710528,0.00018507585397548043
65,1.5656565656565657,0.4512804815835123,0.10786154178367502,0.028347484121567956,0.007487777408924701,0.0019785271906240798,0.000522807286413074
66,1.666666666666667,0.7777777777777786,0.1460536902670358,0.03821093119413149,0.010090057232205296,0.002666082030194361,0.0007044861715910233
67,1.7676767676767673,1.124681154984184,0.11136499800569495,0.02925773885603844,0.007728026295005519,0.002042005708746686,0.0005395808266099311
68,1.8686868686868685,1.4919906132027339,-0.060833064118829994,-0.016046985753942145,-0.0042397667280706375,-0.001120311353158654,-0.0002960321516575215
69,1.9696969696969697,1.879706152433425,-0.47433396072650214,-0.112103617702206,-0.029449516666043063,-0.007778641083940219,-0.0020553790978006248
70,2.070707070707071,2.287827772676258,-1.299741248255992,-0.05051646304637081,-0.013332716414691193,-0.0035227612544095344,-0.0009308530102480894
71,2.1717171717171713,2.7163554739312294,-2.823534623891618,3.3483271928679974,-7.106788437406166,441.7876542152487,-2.701754706952041e+191
72,2.2727272727272725,3.1652892561983457,-5.536308554396846,87.80782480908296,-5.013711044322321e+37,inf,
73,2.3737373737373737,3.634629119477604,-10.2938032920122,10860.155253853836,-inf,,
74,2.474747474747475,4.124375063769004,-18.61535105563487,44694036.50348705,-inf,,
75,2.5757575757575752,4.634527089072541,-33.245833479025826,100968881266747.95,-inf,,
76,2.6767676767676765,5.165085195388224,-59.23098190203411,1.9471262685880504e+25,-inf,,
77,2.7777777777777777,5.716049382716049,-106.0087323077245,4.024509833639485e+45,-inf,,
78,2.878787878787879,6.287419651056016,-191.5441861566444,5.653125234780682e+82,-inf,,
79,2.9797979797979792,6.879196000408118,-350.6421043025657,7.041035591836726e+151,-inf,,
80,3.0808080808080813,7.491378430772373,-651.9401343307212,5.008508200577237e+282,-inf,,
81,3.1818181818181817,8.12396694214876,-1233.2410265002877,inf,,,
82,3.282828282828282,8.776961534537287,-2376.239989729565,inf,,,
83,3.383838383838384,9.450362207937967,-4667.315999530593,inf,,,
84,3.4848484848484844,10.144168962350777,-9349.55997860236,inf,,,
85,3.5858585858585865,10.858381797775742,-19107.069329008486,inf,,,
86,3.686868686868687,11.593000714212835,-39843.31004277459,inf,,,
87,3.787878787878787,12.34802571166207,-84785.52266142606,inf,,,
88,3.8888888888888893,13.12345679012346,-184127.8291530169,inf,,,
89,3.9898989898989896,13.919293949596977,-408096.8661979156,inf,,,
90,4.09090909090909,14.735537190082638,-923126.1957204723,inf,,,
91,4.191919191919192,15.572186511580451,-2131164.7191045387,inf,,,
92,4.292929292929292,16.429241914090394,-5021496.939389079,inf,,,
93,4.3939393939393945,17.306703397612495,-12075654.56631119,inf,,,
94,4.494949494949495,18.204570962146718,-29638073.152169522,inf,,,
95,4.595959595959595,19.122844607693086,-74242279.47600329,inf,,,
96,4.696969696969697,20.061524334251608,-189808120.6562165,inf,,,
97,4.797979797979798,21.02061014182226,-495268253.1893673,inf,,,
98,4.8989898989899,22.000102030405067,-1318950278.6515143,inf,,,
99,5.0,23.0,-3584912823.131592,inf,,,
